ÃƒÆ’Ã‚Â¯Ãƒâ€šÃ‚Â»Ãƒâ€šÃ‚Â¿Ad Id,Ad Placement,Broadcast Month,Budget RPL,Call Abandoned Flag,Call Abandoned Seconds,Call In-Queue Seconds,Call Type Exception Flag,Campaign Topic,Clicks,Consumer Age,Consumer Apt,Consumer At-Fault Flag (Agent),Consumer At-Fault Flag (Consumer),Consumer Complaint Count (Total),Consumer Gender,Consumer Hospitalization Flag,Consumer Insured Flag,Consumer Language,Consumer Opt-In (SMS) Flag,Consumer-Party Injury Flag,Creative Language,Creative Length,Creative Talent,Creative Walker Brand,CS Agent,CumulativeMediaQuarter,CurrentCumulativeMediaPayPeriod,Data Source,Device,DNIS Walker Brand,DNIS Walker Company,Foundation Program Flag,Gross Cost,Impressions,Impressions Source,Inquiry Agent English Skill,Inquiry Agent Skill,Inquiry Agent Spanish Skill,Inquiry Call Type Law Type (Broad),Inquiry Callback Reason,Inquiry Injury Severity,Inquiry Media Source Campaign Lifecycle Stage,Inquiry Media Source Type,Intake Manual Creation Agent,Intake Media Source Type,Invoca Geo,Marketing Campaign,Marketing Content,Marketing Medium,Marketing Source,Marketing Term,Match Type,Media Language,Media Outlet,Media Tactic,Net Cost,Network (Master Table),Non-Equivalized Impressions,Opposing-Party Insured Flag,Other Caller: Relationship,Other Caller: Type,Page Variant,Passenger Count,placement,Platform Placement,Previous Inquiry Rotation,Prop 213 Flag,Publisher Media Tactic,Retention by Atty,Shared Media Source Type,Spot Count,Uninsured Motorist (UM) Coverage,UTM Campaign,UTM Content,UTM Medium,UTM Source,UTM Term,Unique Inquiry Flag,Walker Brand,Walker Campaign Group,Walker Campaign Language,Walker Company,Walker Geo Group,Walker Geo Group (Network vs Local),Walker Region,Web Lead Attempt Count,Web Lead Flag,Web Lead Platform,XTM Adgroup,XTM Landing Page,XTM Network,XTM Offer,XTM Placement,_CumulativeMediaMonth,_CumulativeMediaWeek,_Media Tactic Source,_WeeksInMonth,_WeeksInQuarter,MVA_Qualified,Multi_Touch_Engagement_Score,Multi_Touch_Engagement_Score_Percentile,Days_Since_Incident_Date,Incident_Date_Year,Incident_Date_Month,Incident_Date_Quarter,Incident_Date_DayOfWeek,Incident_Date_DayOfMonth,Incident_Date_IsWeekend,Incident_Date_Hour,Incident_Date_TimeOfDay,Days_Since_Call_Start_Date,Call_Start_Date_Year,Call_Start_Date_Month,Call_Start_Date_Quarter,Call_Start_Date_DayOfWeek,Call_Start_Date_DayOfMonth,Call_Start_Date_IsWeekend,Call_Start_Date_Hour,Call_Start_Date_TimeOfDay,Days_Since_Inquiry_Start_Timestamp,Inquiry_Start_Timestamp_Year,Inquiry_Start_Timestamp_Month,Inquiry_Start_Timestamp_Quarter,Inquiry_Start_Timestamp_DayOfWeek,Inquiry_Start_Timestamp_DayOfMonth,Inquiry_Start_Timestamp_IsWeekend,Inquiry_Start_Timestamp_Hour,Inquiry_Start_Timestamp_TimeOfDay,Days_Since_Inquiry_Start_Date,Inquiry_Start_Date_Year,Inquiry_Start_Date_Month,Inquiry_Start_Date_Quarter,Inquiry_Start_Date_DayOfWeek,Inquiry_Start_Date_DayOfMonth,Inquiry_Start_Date_IsWeekend,Inquiry_Start_Date_Hour,Inquiry_Start_Date_TimeOfDay,Days_Since_Week_Start_Date,Week_Start_Date_Year,Week_Start_Date_Month,Week_Start_Date_Quarter,Week_Start_Date_DayOfWeek,Week_Start_Date_DayOfMonth,Week_Start_Date_IsWeekend,Week_Start_Date_Hour,Week_Start_Date_TimeOfDay,Days_Since_Month_Start_Date,Month_Start_Date_Year,Month_Start_Date_Month,Month_Start_Date_Quarter,Month_Start_Date_DayOfWeek,Month_Start_Date_DayOfMonth,Month_Start_Date_IsWeekend,Month_Start_Date_Hour,Month_Start_Date_TimeOfDay,Days_Since_Shared_Date,Shared_Date_Year,Shared_Date_Month,Shared_Date_Quarter,Shared_Date_DayOfWeek,Shared_Date_DayOfMonth,Shared_Date_IsWeekend,Shared_Date_Hour,Shared_Date_TimeOfDay,Incident_Recency_Detailed,Incident_Within_7_Days,Incident_Within_14_Days,Incident_Within_30_Days,Incident_Within_60_Days,Incident_Within_90_Days,Incident_Within_180_Days,Incident_Within_365_Days,Incident_Within_730_Days,Statute_Risk_Score,In_Optimal_Window,Log_Days_Since_Incident,Days_Incident_to_Call,Hours_Incident_to_Call,Incident_to_Call_Within_1d,Incident_to_Call_Within_3d,Incident_to_Call_Within_7d,Incident_to_Call_Within_14d,Incident_to_Call_Within_30d,Same_Day_Incident_to_Call,Days_Incident_to_Inquiry,Hours_Incident_to_Inquiry,Incident_to_Inquiry_Within_1d,Incident_to_Inquiry_Within_3d,Incident_to_Inquiry_Within_7d,Incident_to_Inquiry_Within_14d,Incident_to_Inquiry_Within_30d,Same_Day_Incident_to_Inquiry,Incident_Date_TimeOfDay_Unknown,Call_Start_Date_TimeOfDay_Unknown,Inquiry_Start_Timestamp_TimeOfDay_Unknown,Inquiry_Start_Date_TimeOfDay_Unknown,Week_Start_Date_TimeOfDay_Unknown,Month_Start_Date_TimeOfDay_Unknown,Shared_Date_TimeOfDay_Unknown,Incident_Recency_Detailed_Ancient,Incident_Recency_Detailed_Moderate,Incident_Recency_Detailed_Old,Incident_Recency_Detailed_Recent,Incident_Recency_Detailed_Unknown,Incident_Recency_Detailed_Very_Old,Incident_Recency_Detailed_Very_Recent,Emergency_Treatment_Window,Delayed_Treatment_Risk,Case_Urgency_Score,Incident_Season,Incident_Holiday_Season,Call_Season,Call_Holiday_Season
,,9/1/2025,,False,0.0,3.0,No,,,21.0,,,,,M,,,English,,No,,,,,,103,672.0,Inquiry,,FL,TL2,False,,,,,,,L&E,,,,Paid Search - Unbranded,,Website,,21527271511.0,7.0776E+11,paid search,GSN,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,Pending,Paid Search - Unbranded,,,21527271511.0,7.0776E+11,paid search,GSN,,Yes,FL,,English,TL2,FL OOS,Local,Out of State,,No,,169146000000.0,,g,p3.7,,309,1343,Paid Search - Unbranded,4,13,0,,,18.0,2025.0,9.0,3.0,0.0,15.0,0,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Very_Recent,0,0,1,1,1,1,1,1,1,0,2.9444389791664403,4.0,96.0,0,0,1,1,1,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,False,False,True,0,1,5,Fall,0,Fall,0
,,9/1/2025,,False,0.0,0.0,No,,,35.0,,,,,F,,,English,,,,,,,,103,672.0,Inquiry,,,,False,,,,,,,MVA,,,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,No Retention Data,Paid Search - Unbranded,,,,,,,,Yes,TL2,,English,TL2,TL2 OOS,Local,Out of State,2.0,Yes,,,,,TL2-Unb-HL-v2,,309,1343,Paid Search - Unbranded,4,13,1,,,,,,,,,0,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,True,False,False,0,0,0,Unknown,0,Fall,0
,,9/1/2025,,False,0.0,2.0,No,,,,,,No,,F,,Yes,English,,Yes,,,,,,103,672.0,Inquiry,,TL2,TL2,False,,,,,,,MVA,,ST,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,Yes,,,,,,,,,,No Retention Data,Paid Search - Unbranded,,,,,,,,Yes,TL2,,English,TL2,Outside CA,Local,Out of State,,No,,,,,,,309,1343,Paid Search - Unbranded,4,13,1,,,15.0,2025.0,9.0,3.0,3.0,18.0,0,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Very_Recent,0,0,1,1,1,1,1,1,1,0,2.772588722239781,1.0,24.0,1,1,1,1,1,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,False,False,True,0,1,5,Fall,0,Fall,0
,,9/1/2025,,False,0.0,137.0,Yes,,,73.0,,,No,,M,,,Spanish,,,,,,,,103,672.0,Inquiry,,FL,LD,,,,,,,,Premise,,ST,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,No Retention Data,Paid Search - Unbranded,,,,,,,,Yes,FL,,Spanish,LDWEB,FL OOS,Local,Out of State,,No,,,,,,,309,1343,Paid Search - Unbranded,4,13,0,,,55.0,2025.0,8.0,3.0,5.0,9.0,1,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Recent,0,0,0,1,1,1,1,1,1,1,4.02535169073515,41.0,984.0,0,0,0,0,0,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,True,False,False,False,0,1,2,Summer,0,Fall,0
,,9/1/2025,,False,0.0,56.0,No,,,29.0,,,,,M,,,English,,,,,,,,103,672.0,Inquiry,,TL2,TL2,,,,,Fluent,General,Fluent,WC,,,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,No Retention Data,Paid Search - Unbranded,,,,,,,,Yes,TL2,,English,TL2,Outside CA,Local,Out of State,,No,,,,,,,309,1343,Paid Search - Unbranded,4,13,0,,,,,,,,,0,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,True,False,False,0,0,0,Unknown,0,Fall,0
,,9/1/2025,,False,0.0,33.0,No,,,33.0,,,,,F,,,English,,No,,,,,,103,672.0,Inquiry,,FL,TL2,False,,,,Fluent,Auto and General,Fluent,L&E,,,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,Pending,Paid Search - Unbranded,,,,,,,,Yes,FL,,English,TL2,FL OOS,Local,Out of State,,No,,,,,,,309,1343,Paid Search - Unbranded,4,13,0,,,16.0,2025.0,9.0,3.0,2.0,17.0,0,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Very_Recent,0,0,1,1,1,1,1,1,1,0,2.833213344056216,2.0,48.0,0,1,1,1,1,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,False,False,True,0,1,5,Fall,0,Fall,0
,,9/1/2025,,False,0.0,4.0,No,,,37.0,,,,,F,,,Spanish,,,,,,,,103,672.0,Inquiry,,LD,LDE,False,,,,,,,Misc,,,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,No Retention Data,Paid Search - Unbranded,,,,,,,,Yes,LD,CA Expansion,Spanish,LDE,Outside CA,Local,Out of State,,No,,,,,,,309,1343,Paid Search - Unbranded,4,13,0,,,,,,,,,0,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,True,False,False,0,0,0,Unknown,0,Fall,0
,,9/1/2025,,False,0.0,4.0,No,,,,,,,,M,,,Spanish,,,,,,,,103,672.0,Inquiry,,AF,TL2,,,,,No English,Auto and General,Fluent,MVA,,,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,No Retention Data,Paid Search - Unbranded,,,,,,,,Yes,AF,,English,TL2,AF OOS,Local,Out of State,,No,,,,,,,309,1343,Paid Search - Unbranded,4,13,1,,,,,,,,,0,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,True,False,False,0,0,0,Unknown,0,Fall,0
,,9/1/2025,,False,0.0,0.0,No,,,20.0,,,,,F,,,English,,,,,,,,103,672.0,Inquiry,,,,False,,,,,,,MVA,,,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,No Retention Data,Paid Search - Unbranded,,,21105638365.0,7.1595E+11,paid search,GSN,,Yes,AF,,English,TL2,AF OOS,Local,Out of State,,Yes,,174058000000.0,,g,r2.6,,309,1343,Paid Search - Unbranded,4,13,1,,,,,,,,,0,,Unknown,14.0,2025.0,9.0,3.0,4.0,19.0,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,True,False,False,0,0,0,Unknown,0,Fall,0
,,9/1/2025,,,,,No,,,54.0,,,,,M,,,English,,,,,,,,103,672.0,Inquiry,,TL2,TL2,,,,,Fluent,Auto and General,No Spanish,MVA,,,,Paid Search - Unbranded,,Website,,,,,,,,,,Paid Search - Unbranded,,,,,,,,,,,,,,No Retention Data,Paid Search - Unbranded,,,,,,,,Yes,TL2,,English,TL2,Outside CA,Local,Out of State,,No,,,,,,,309,1343,Paid Search - Unbranded,4,13,1,,,,,,,,,0,,Unknown,,,,,,,0,,Unknown,,,,,,,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,18,2025,9,3,0,15,0,,Unknown,32,2025,9,3,0,1,0,,Unknown,14,2025,9,3,4,19,0,,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,False,True,False,False,0,0,0,Unknown,0,Unknown,0
