Feature,Type,Is_Engineered,Missing_Count,Missing_Pct,Valid_Count,Mean_Overall,Std_Overall,Mean_Positive,Mean_Negative,Std_Positive,Std_Negative,Mean_Difference,Mean_Ratio,T_Statistic,T_Test_PValue,MannWhitney_Statistic,MannWhitney_PValue,Cohens_D,KS_Statistic,KS_PValue,PointBiserial_Correlation,PointBiserial_PValue,AUC_ROC,Is_Monotonic,Bin_Rate_Spread,Bin_Rate_Range,Nonlinearity_Score,Linear_AUC,Spline_AUC,Permutation_Importance,Is_Temporal,Temporal_Patterns,Has_Monotonic_Recency,Cyclical_Variation,Feature_Origin,Unique_Values,Unique_Ratio,Chi2_Statistic,Chi2_PValue,Degrees_Freedom,Cramers_V,Best_Category_Rate,Worst_Category_Rate,Rate_Spread,Best_Category,Worst_Category,Best_Category_Rate_30plus,Worst_Category_Rate_30plus,Categories_30plus,Information_Value,Max_WoE,Min_WoE,WoE_Range,IV_Power,Encoded_AUC,Skip_Reason,AUC_Normalized,KS_Normalized,CohensD_Normalized,Correlation_Normalized,BinSpread_Normalized,Nonlinearity_Normalized,PermImportance_Normalized,Predictiveness_Score,CramersV_Normalized,IV_Normalized,RateSpread_Normalized,EncodedAUC_Normalized,Predictiveness_Rank,Predictiveness_Percentile
Incident_Date_TimeOfDay,Categorical,False,0,0.0,1840739,,,,,,,,,,,,,,,,,,,,,,,,,0.4469173053212583,True,,,0.0,Temporal,2.0,1.0865201421820258e-06,501927.55834680074,0.0,1.0,0.5221850256662111,0.3046132971506106,2.663465434877319e-05,0.3045866624962618,Night,Unknown,0.3046132971506106,2.663465434877319e-05,2.0,8.690947390464043,2.260653439665677,-7.447192316506117,9.707845756171793,Suspicious,0.9476249215712325,,,,,,,,0.4469173053212583,0.8318713286861112,0.5221850256662111,1.0,1.0,0.8952498431424649,1.0,1.0
Incident_Recency_Detailed,Categorical,False,0,0.0,1840739,,,,,,,,,,,,,,,,,,,,,,,,,0.3226139647217623,True,,,0.0,Temporal,8.0,4.346080568728103e-06,565237.2522033944,0.0,7.0,0.5541397204814908,0.4978902953586498,0.0,0.4978902953586498,Very_Recent,Immediate,0.4978902953586498,2.663465434877319e-05,7.0,8.833061488077307,3.0776395748500662,-7.447192316506117,10.524831891356182,Suspicious,0.8230509588076789,,,,,,,,0.3226139647217623,0.7838423124709406,0.5541397204814908,1.0,1.0,0.6461019176153577,2.0,0.994413407821229
Consumer At-Fault Flag (Agent),Categorical,False,1806007,98.11314912108669,34732,,,,,,,,,,,,,,,,,,,,,,,,,0.3426738308539904,False,,,,Original,3.0,8.637567660946678e-05,16625.613051301356,0.0,2.0,0.6918691052391669,0.811088534107402,0.11828082913690127,0.6928077049705007,No,Yes,0.811088534107402,0.11828082913690127,3.0,2.3940562921301725,1.5807155543594564,-1.8851950895268645,3.465910643886321,Suspicious,0.8450666635883997,,,,,,,,0.3426738308539904,0.7778883500144101,0.6918691052391669,1.0,1.0,0.6901333271767993,3.0,0.9888268156424581
Incident_Season,Categorical,False,0,0.0,1840739,,,,,,,,,,,,,,,,,,,,,,,,,0.2190196374087413,True,,,0.0,Temporal,5.0,2.7163003554550645e-06,504875.1777728257,0.0,4.0,0.5237160728571857,0.31888633397551425,2.663465434877319e-05,0.3188596993211655,Summer,Unknown,0.31888633397551425,2.663465434877319e-05,5.0,8.696750654716942,2.327183960274497,-7.447192316506117,9.774376276780615,Suspicious,0.719397404379762,,,,,,,,0.2190196374087413,0.7296011851395362,0.5237160728571857,1.0,1.0,0.4387948087595239,4.0,0.9832402234636871
Inquiry_Start_Date_TimeOfDay,Categorical,False,0,0.0,1840739,,,,,,,,,,,,,,,,,,,,,,,,,0.32213524866420595,True,,,0.0,Temporal,2.0,1.0865201421820258e-06,136264.50970915979,0.0,1.0,0.2720791561876436,0.11447977779707612,0.0,0.11447977779707612,Night,Unknown,0.11447977779707612,0.0,2.0,6.345812511944397,1.040301343759669,-8.774393087084412,9.814694430844082,Suspicious,0.8233259066786494,,,,,,,,0.32213524866420595,0.7133378483501366,0.2720791561876436,1.0,1.0,0.6466518133572987,5.0,0.9776536312849162
Call_Start_Date_TimeOfDay,Categorical,False,0,0.0,1840739,,,,,,,,,,,,,,,,,,,,,,,,,0.31595463713156935,True,,,0.0,Temporal,2.0,1.0865201421820258e-06,132305.78583017568,0.0,1.0,0.2680978377679566,0.11485349388797665,0.0014918476238605625,0.11336164626411609,Night,Unknown,0.11485349388797665,0.0014918476238605625,2.0,2.8305333345569306,1.0439826185463745,-3.420168506163397,4.464151124709772,Suspicious,0.8170292912900605,,,,,,,,0.31595463713156935,0.7095264423987426,0.2680978377679566,1.0,1.0,0.634058582580121,6.0,0.9720670391061452
Walker Campaign Group,Categorical,False,1457401,79.17477708681133,383338,,,,,,,,,,,,,,,,,,,,,,,,,0.32071520935465214,False,,,,Original,8.0,2.0869311156212012e-05,46053.54591800695,0.0,7.0,0.3466096110196933,0.14752650176678445,0.0,0.14752650176678445,CA Expansion,FindLegal English,0.14752650176678445,0.0,5.0,9.622299878784052,3.6283993531038665,-9.041089648146796,12.669489001250662,Suspicious,0.8220030972825584,,,,,,,,0.32071520935465214,0.6813606133428887,0.3466096110196933,1.0,1.0,0.6440061945651168,7.0,0.9664804469273743
Incident_Recency_Detailed_Unknown,Numeric,False,0,0.0,1840739,0.8566630032829206,0.3504162792978707,0.0005223036076256326,0.8957721467500906,0.022848135558916526,0.3055559865147299,-0.895249843142465,0.0005830764036254242,-3669.2380385117876,0.0,7413854433.5,0.0,-2.9956939578545985,0.895249843142465,0.0,-0.5221888181712276,0.0,0.9476249215712325,False,0.0,N/A,0.0,0.9476249215712326,0.9476249215712326,0.44728572574070125,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.8952498431424649,0.895249843142465,1.0,0.5221888181712276,0.0,0.0,0.44728572574070125,0.658758626686652,,,,,8.0,0.9608938547486033
Incident_Date_TimeOfDay_Unknown,Numeric,False,0,0.0,1840739,0.8566630032829206,0.3504162792978707,0.0005223036076256326,0.8957721467500906,0.022848135558916526,0.3055559865147299,-0.895249843142465,0.0005830764036254242,-3669.2380385117876,0.0,7413854433.5,0.0,-2.9956939578545985,0.895249843142465,0.0,-0.5221888181712276,0.0,0.9476249215712325,False,0.0,N/A,0.0,0.9476249215712326,0.9476249215712326,0.44727751270796623,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.8952498431424649,0.895249843142465,1.0,0.5221888181712276,0.0,0.0,0.44727751270796623,0.6587573947317418,,,,,9.0,0.9553072625698324
Delayed_Treatment_Risk,Numeric,False,0,0.0,1840739,0.1433310208562974,0.35041019680087676,0.9994652605921928,0.10422217248396036,0.023118393283531654,0.30554862834300794,0.8952430881082324,9.589755623722512,3664.537004757748,0.0,134138762106.5,0.0,2.9957343746809593,0.8952430881082324,0.0,0.522193942237918,0.0,0.9476215440541162,False,0.0,N/A,0.0,0.9476215440541162,0.9476215440541162,0.4470129208260595,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.8952430881082325,0.8952430881082324,1.0,0.522193942237918,0.0,0.0,0.4470129208260595,0.6587161102974779,,,,,10.0,0.9497206703910615
